Names
Albert I
Albert II
Laika
Albert III
Albert IV
Yorick
Albert V
Gordo
Miss Able
Goliath
Scatback
Bonnie
Multik
Cleopatra
Fe
Fi
Fo
Phooey
Fum
Antares
Mia
Laska
Wickie
Arabella
Anita
Hector
Castor
Pollux
Félicette
Cat C333
Dezik
Lisa
Chizhik
Mishka
Ryzhik
Bulba
Lisa II
Rita
Ryzhaya
Dzhoyna
Palma
Pushok
Zhulba
Knopka
Lisichka
Chayka
Pcholka
Mushka
Pierre
Tee-Nom
Celedonio
Alfa
Gamma
Alejo
Aurelio
Anastasio
Braulio
Benito
Cipriano
Coco
